Days	Dose	Induced	Ratio	Osteoimage RFUs	DAPI
21	0	yes	0.891773754	151601	169999
21	0	yes	0.158331015	31593	199540
21	0	yes	0.668270076	129906	194392
21	0	yes	0.326700026	63066	193039
21	0	yes	0.477864776	158467	331615
21	0	yes	0.46994641	90631	192853
21	0.0048	yes	1.084294653	193360	178327
21	0.0048	yes	0.274696075	48540	176705
21	0.0048	yes	0.216832231	40222	185498
21	0.0048	yes	0.209845021	49978	238167
21	0.0048	yes	1.055815564	202614	191903
21	0.024	yes	0.946407009	167559	177047
21	0.024	yes	0.905299197	185371	204762
21	0.024	yes	1.175574831	192120	163426
21	0.024	yes	1.152562616	190393	165191
21	0.024	yes	0.865106479	184569	213348
21	0.12	yes	1.036000434	172260	166274
21	0.12	yes	0.953464114	165894	173991
21	0.12	yes	1.118547182	184478	164927
21	0.12	yes	0.3925103	71372	181835
21	0.12	yes	1.075370884	194532	180897
21	0.6	yes	1.278706828	198114	154933
21	0.6	yes	1.28916646	201412	156234
21	0.6	yes	0.38940345	61531	158014
21	0.6	yes	0.671087874	106239	158308
21	0.6	yes	1.150038955	213334	185502
21	3	yes	0.01326035	1929	145435
21	3	yes	0.036800924	4046	109954
21	3	yes	0.032552813	3448	105929
21	3	yes	0.167678243	19314	115183
21	3	yes	0.050695822	5925	116868
21	15	yes	0.020784018	1510	72672
21	15	yes	0.004193865	824	196443
21	15	yes	0.003773976	247	65380
21	15	yes	0.000725832	54	74656
21	15	yes	0.120268813	8721	72509
28	0	yes	0.879833273	154183	175241
28	0	yes	0.945824436	147079	155504
28	0	yes	0.82224314	145196	176585
28	0	yes	0.692163369	129766	187479
28	0	yes	0.944043416	160305	169807
28	0	yes	0.843753955	137736	163241
28	0	yes	0.620712874	117438	189198
28	0	yes	0.737629559	120747	163696
28	0	yes	0.859779446	127367	148139
28	0	yes	0.740154713	120828	163247
28	0.0048	yes	1.010397381	180465	178608
28	0.0048	yes	0.979005405	157321	160695
28	0.0048	yes	0.809242962	138213	170793
28	0.0048	yes	0.790859001	138937	175678
28	0.0048	yes	0.835836671	148019	177091
28	0.024	yes	1.135052941	204836	180464
28	0.024	yes	1.089004542	189596	174100
28	0.024	yes	0.863616812	149120	172669
28	0.024	yes	0.771739659	146169	189402
28	0.024	yes	0.977547797	175189	179213
28	0.12	yes	1.184915354	201991	170469
28	0.12	yes	1.086546954	178705	164470
28	0.12	yes	0.8405351	147259	175197
28	0.12	yes	0.719932984	144629	200892
28	0.12	yes	0.717966629	145898	203210
28	0.6	yes	1.367084546	219164	160315
28	0.6	yes	1.194754368	179682	150393
28	0.6	yes	0.963149131	151665	157468
28	0.6	yes	0.877979258	151324	172355
28	0.6	yes	1.124961827	181402	161251
28	3	yes	1.811246091	196945	108735
28	3	yes	1.557759702	198276	127283
28	3	yes	1.505624107	167776	111433
28	3	yes	1.786778806	201977	113039
28	3	yes	2.087950849	208625	99919
28	15	yes	0.061226504	4558	74441
28	15	yes	0.053636482	4317	80488
28	15	yes	0.035768633	3897	108946
28	15	yes	0.063320951	5071	80080
28	15	yes	0.689451633	117930	171050
